imageUrl,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05063.jpg,30.73,36.28,44.31,#9a7248,#997063,#8b4f3a,#44362f,#eed7a4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05061.jpg,26.06,40.41,48.04,#ac7449,#a7805e,#703f24,#574539,#fcebe3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05058.jpg,39.78,39.32,54.12,#b8995c,#87786e,#664731,#4e3d31,#e0c888
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05055.jpg,27.00,51.28,50.00,#c0783e,#886b46,#3b2513,#4d4036,#deb99a
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05052.jpg,17.81,40.00,31.37,#704330,#866f48,#5c3727,#4b4139,#e1ca94
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05049.jpg,35.63,39.67,47.45,#a98249,#8c7b6f,#5e3825,#745c5c,#fbf3bc
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05046.jpg,41.80,51.26,53.33,#c5a04b,#b89c62,#69432e,#3d2a1d,#dfc17f
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05043.jpg,31.82,61.11,57.65,#d59751,#997e67,#7f4c2d,#50463b,#f2d490
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05040.jpg,27.00,80.00,39.22,#b45c14,#9f8974,#a16b0f,#4a3724,#d5ac4f
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05014.jpg,15.24,67.74,36.47,#9c3e1e,#b49a60,#643529,#38231d,#e9a68f
https://ids.si.edu/ids/deliveryService?id=NMAH-95-5528-000002.jpg,28.35,43.54,59.02,#c49469,#79573e,#51351b,#513c3d,#d9bb9f
https://ids.si.edu/ids/deliveryService?id=NMAH-2006-657.jpg,44.03,55.38,49.22,#c39e38,#87775d,#735010,#644430,#f3d964
https://ids.si.edu/ids/deliveryService?id=NMAAHC-B1AE8D8051432_4001.jpg,38.18,36.67,47.06,#a4844c,#9c8c66,#4c241c,#543b2c,#d5c3a4
https://ids.si.edu/ids/deliveryService?id=NMAAHC-A155B5F569262_5001.jpg,4.38,40.00,47.06,#a84f48,#8c5f59,#702320,#61372b,#d7a6a2
https://ids.si.edu/ids/deliveryService?id=NMAAHC-60913DE675FA2_4001-000002.jpg,219.13,36.51,50.00,#5071ae,#828388,#141c2b,#303444,#dccaa9
https://ids.si.edu/ids/deliveryService?id=NMAAHC-5A9963E0257C2_5001.jpg,40.00,40.68,50.00,#b3904b,#90846b,#5d4b27,#756e61,#dcccac
https://ids.si.edu/ids/deliveryService?id=NMAAHC-54C015E88BEA2_4001.jpg,35.63,38.71,48.63,#ac854c,#987e5a,#705434,#5c4637,#bca46c
